更新时间,#genre#
2024-12-17 00:12:38,url
📺央视频道,#genre#
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,http://121.33.239.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-1,http://219.128.121.202:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-1,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-1,http://d0bf2d.tv.netsite.cc/proxy/1387573383/1387573383.m3u8$订阅源
CCTV-1,http://101.65.33.182:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://221.213.69.82:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://0a736a.tv.netsite.cc/proxy/1387573383/1387573383.m3u8$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002133/index.m3u8$订阅源-IPv6
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8$订阅源-IPv6
CCTV-2,http://219.128.121.202:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-2,http://121.33.239.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-2,http://202.168.187.208:9089/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-2,http://d0bf2d.tv.netsite.cc/proxy/1865857764/1865857764.m3u8$订阅源
CCTV-2,https://tvbox.nat.netsite.cc:8043/proxy/1865857764/1865857764.m3u8$订阅源
CCTV-2,http://14.204.106.74:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8?$订阅源-IPv6
CCTV-2,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3$订阅源-IPv6
CCTV-3,http://116.128.242.83:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-3,http://202.168.187.208:9089/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-3,http://121.33.239.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-3,http://219.128.121.202:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV-3,http://d0bf2d.tv.netsite.cc/proxy/781829366/781829366.m3u8$订阅源
CCTV-3,http://220.164.192.48:50085/tsfile/live/0004_1.m3u8$订阅源
CCTV-3,http://14.204.106.74:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,https://tvbox.nat.netsite.cc:8043/proxy/781829366/781829366.m3u8$订阅源
CCTV-3,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000003/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000000$订阅源-IPv6
